Business_Partner_Branch,ChemistCode,ChemistName,Forecast_Month,Predicted_Sale_Units,Target_Sales,Performance_Status,Latest_Observed_Sales
Branch_A,C00001,Pharmacy_00001,2026-04-01,396.92,205.7,Overperforming,107.0
Branch_A,C00001,Pharmacy_00001,2026-05-01,415.43,205.7,Overperforming,107.0
Branch_A,C00001,Pharmacy_00001,2026-06-01,433.95,205.7,Overperforming,107.0
Branch_A,C00002,Pharmacy_00002,2026-04-01,10.17,13.93,Underperforming,16.0
Branch_A,C00002,Pharmacy_00002,2026-05-01,9.87,13.93,Underperforming,16.0
Branch_A,C00002,Pharmacy_00002,2026-06-01,9.57,13.93,Underperforming,16.0
Branch_A,C00003,Pharmacy_00003,2026-04-01,6.06,10.27,Underperforming,15.0
Branch_A,C00003,Pharmacy_00003,2026-05-01,5.29,10.27,Underperforming,15.0
Branch_A,C00003,Pharmacy_00003,2026-06-01,4.52,10.27,Underperforming,15.0
Branch_A,C00004,Pharmacy_00004,2026-04-01,9.22,6.97,Overperforming,9.0
Branch_A,C00004,Pharmacy_00004,2026-05-01,9.96,6.97,Overperforming,9.0
Branch_A,C00004,Pharmacy_00004,2026-06-01,10.69,6.97,Overperforming,9.0
Branch_A,C00005,Pharmacy_00005,2026-04-01,9.56,0.0,Overperforming,0.0
Branch_A,C00005,Pharmacy_00005,2026-05-01,9.56,0.0,Overperforming,0.0
Branch_A,C00005,Pharmacy_00005,2026-06-01,9.56,0.0,Overperforming,0.0
Branch_A,C00006,Pharmacy_00006,2026-04-01,17.06,13.93,Overperforming,7.0
Branch_A,C00006,Pharmacy_00006,2026-05-01,17.96,13.93,Overperforming,7.0
Branch_A,C00006,Pharmacy_00006,2026-06-01,18.86,13.93,Overperforming,7.0
Branch_A,C00007,Pharmacy_00007,2026-04-01,4.25,12.83,Underperforming,8.0
Branch_A,C00007,Pharmacy_00007,2026-05-01,0.9,12.83,Underperforming,8.0
Branch_A,C00007,Pharmacy_00007,2026-06-01,0.0,12.83,Underperforming,8.0
Branch_A,C00008,Pharmacy_00008,2026-04-01,0.0,0.0,No Activity,0.0
Branch_A,C00008,Pharmacy_00008,2026-05-01,0.0,0.0,No Activity,0.0
Branch_A,C00008,Pharmacy_00008,2026-06-01,0.0,0.0,No Activity,0.0
Branch_A,C00009,Pharmacy_00009,2026-04-01,5.47,8.43,Underperforming,5.0
Branch_A,C00009,Pharmacy_00009,2026-05-01,4.46,8.43,Underperforming,5.0
Branch_A,C00009,Pharmacy_00009,2026-06-01,3.44,8.43,Underperforming,5.0
Branch_A,C00010,Pharmacy_00010,2026-04-01,41.08,54.27,Underperforming,42.0
Branch_A,C00010,Pharmacy_00010,2026-05-01,38.5,54.27,Underperforming,42.0
Branch_A,C00010,Pharmacy_00010,2026-06-01,35.92,54.27,Underperforming,42.0
Branch_A,C00011,Pharmacy_00011,2026-04-01,76.97,83.97,Underperforming,144.0
Branch_A,C00011,Pharmacy_00011,2026-05-01,79.86,83.97,Underperforming,144.0
Branch_A,C00011,Pharmacy_00011,2026-06-01,82.74,83.97,Underperforming,144.0
Branch_A,C00012,Pharmacy_00012,2026-04-01,38.14,66.73,Underperforming,38.0
